fid,nn_rep,lhs_rep,ela_distr.skewness,fitness_distance.fitness_std,nbc.nn_nb.sd_ratio,nbc.nb_fitness.cor,ela_meta.lin_simple.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_w_interact.adj_r2
1,orig,0,0.5904071431816035,0.03023426021420425,0.791102929313671,-0.2817306535074542,0.28160659202334826,0.29122789558946405,1.0,1.0
1,orig,1,0.5897774622893134,0.030076348104411333,0.8283592468041692,-0.28519921367077705,0.2523401958159184,0.2581381653537279,1.0,1.0
1,orig,2,0.551029641964851,0.027035716175100755,0.7909652083554627,-0.28044251597629805,0.28082241493801763,0.2832753453593386,1.0,1.0
1,orig,3,0.7036865607706847,0.026071848170565726,0.8178333041325765,-0.27076882374163913,0.2992547708219224,0.2974428532917256,1.0,1.0
1,orig,4,0.5162916850342686,0.02508052741904642,0.8445614226301303,-0.31091725562296124,0.28660085995784845,0.28667749213835236,1.0,1.0
1,orig,5,0.7097576139765561,0.02434507891044189,0.8419578369996885,-0.27271635866888344,0.2769588036401489,0.2811397369735176,1.0,1.0
1,orig,6,0.6081022682041584,0.024674903706935803,0.809997335562162,-0.2780689401709546,0.24965665855979446,0.24756883810129338,1.0,1.0
1,orig,7,0.6226996770194415,0.0288806477356262,0.8209115612829516,-0.2848049600770659,0.3079802936550221,0.3085411916542755,1.0,1.0
1,orig,8,0.610143625083746,0.026238771672354177,0.8041885881675441,-0.2727709831118348,0.28886819052376245,0.297624120042818,1.0,1.0
1,orig,9,0.5425674045571386,0.025953690707477738,0.801982511301422,-0.3062837585535976,0.22911759991119485,0.22741812844520493,1.0,1.0
1,orig,10,0.7368701457041802,0.02459853793705897,0.8409370235237882,-0.26888338405351736,0.2961343306341704,0.29751508233582147,1.0,1.0
1,orig,11,0.5655992987670126,0.029271803005316007,0.7832221719546346,-0.2872223891138062,0.2858563693332503,0.29016187057358733,1.0,1.0
1,orig,12,0.7203269414103479,0.028474756886861026,0.7697433495436136,-0.2734921922297679,0.2958494180910295,0.3055872051818309,1.0,1.0
1,orig,13,0.6124049922136633,0.03191033361673351,0.7955322437243367,-0.2782714391427028,0.2915488340617223,0.2938178913163445,1.0,1.0
1,orig,14,0.5065032321007861,0.027337503444517686,0.8125648751486074,-0.28115588401122343,0.2589520272869045,0.2621078336055318,1.0,1.0
1,orig,15,0.6460267601960865,0.028114126532651582,0.8006647617021647,-0.27967741295282456,0.27709179716012566,0.278054813647856,1.0,1.0
1,orig,16,0.6065986444201339,0.02615014037583228,0.8190753148276044,-0.29102150198933824,0.2864486063774321,0.2840119899833278,1.0,1.0
1,orig,17,0.563220347507304,0.02998529209984454,0.8202000970790218,-0.28749067472441026,0.2660467571898809,0.26865471720005063,1.0,1.0
1,orig,18,0.4474956989787587,0.030593322126319867,0.794511744710288,-0.2947676813485984,0.2606018339512046,0.2586658544557068,1.0,1.0
1,orig,19,0.56780165835246,0.021556631323675933,0.8002776159663813,-0.2759620524689167,0.31522831140061114,0.32087037925909534,1.0,1.0
1,orig,20,0.5177455118604695,0.02829422337956183,0.7946027138822792,-0.2803510337802129,0.30211556052230726,0.30379039576600386,1.0,1.0
1,orig,21,0.6270442093139184,0.02129579638597103,0.8014310227073567,-0.2880613749649971,0.29485520173313384,0.2963862615687304,1.0,1.0
1,orig,22,0.5921891984914228,0.027222623572600795,0.8081371990930833,-0.28592293521890144,0.27058755579234495,0.27047777433653997,1.0,1.0
1,orig,23,0.5261890655786535,0.02677823570350921,0.8444213079985222,-0.2909398519647244,0.26751166856027997,0.2900205383403066,1.0,1.0
1,orig,24,0.7082918411547288,0.027704050552780673,0.8246142647869106,-0.2805604049438235,0.28525482533934343,0.2829011262080935,1.0,1.0
1,orig,25,0.5352606274534465,0.029227452052991775,0.7809195919925406,-0.26883097993293037,0.327995840699685,0.32973691070658906,1.0,1.0
