fid,nn_rep,lhs_rep,ela_distr.skewness,fitness_distance.fitness_std,nbc.nn_nb.sd_ratio,nbc.nb_fitness.cor,ela_meta.lin_simple.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_w_interact.adj_r2
1,orig,0,0.7297734567044438,0.015065651818741654,0.698103881291012,-0.17684313444101465,0.3134723808309816,0.3121380656138456,1.0,1.0
1,orig,1,0.6016890472907241,0.013889732569241298,0.6944534974275914,-0.180485146544265,0.26778231327037005,0.2686233223279262,1.0,1.0
1,orig,2,0.6157252304941301,0.0166835367815696,0.6862886758563802,-0.1823002779256261,0.3073951362492159,0.31985271724718567,1.0,1.0
1,orig,3,0.7384773432070662,0.013219343792143946,0.7107232442087128,-0.17089070141207277,0.30557883408424,0.3043168526931318,1.0,1.0
1,orig,4,0.6877712456020986,0.01755409301260881,0.7044643616597968,-0.17979957593394663,0.31763724773002633,0.3193999627340388,1.0,1.0
1,orig,5,0.7384554475365079,0.012729938978975534,0.6735758361967696,-0.1676648802698157,0.32426573641324785,0.3236572663209356,1.0,1.0
1,orig,6,0.7805011460353654,0.016959564825357556,0.7204585991142084,-0.17759610924017602,0.2836172668422753,0.2925121723972117,1.0,1.0
1,orig,7,0.7764774241112907,0.017189485049800203,0.6786365132762393,-0.17591677008079407,0.2826829110763117,0.284712514944387,1.0,1.0
1,orig,8,0.738492445098997,0.01397518368601039,0.6985643208127579,-0.1635484761546736,0.2944295987169062,0.29329582523412034,1.0,1.0
1,orig,9,0.6380996644802056,0.014620302171950837,0.7065719224500424,-0.17123697014190054,0.29255383746608365,0.2914086952220347,1.0,1.0
1,orig,10,0.7030084732221665,0.014030202812822605,0.7034333800533905,-0.17224152261581735,0.3225953715375084,0.323688927902102,1.0,1.0
1,orig,11,0.7260388866053743,0.015382575748429887,0.7581942872723959,-0.17863926867991414,0.2818714117629715,0.2823954178162067,1.0,1.0
1,orig,12,0.7297257581560148,0.013549383277299477,0.7110847492517595,-0.15167929587462825,0.2987215372046542,0.2974863461561198,1.0,1.0
1,orig,13,0.8610671012235255,0.015166489820178843,0.7149573198407809,-0.16735869530363828,0.30833317994985443,0.3145530345273351,1.0,1.0
1,orig,14,0.7173946483936853,0.016503936686029057,0.7011279554436323,-0.17438865213087082,0.3125541599501084,0.31788736669042994,1.0,1.0
1,orig,15,0.5734833367208254,0.01891453627392612,0.6908487871403747,-0.2081060151583274,0.29761243104117974,0.2983865277468931,1.0,1.0
1,orig,16,0.6667219550358195,0.014853763220560935,0.7110681753292211,-0.17332574598886394,0.27114400980400777,0.2772494235263939,1.0,1.0
1,orig,17,0.7606376218264795,0.01860593617113047,0.707300430458776,-0.1754606508275056,0.3082424922326964,0.3073410063639339,1.0,1.0
1,orig,18,0.6795068014537715,0.015115544787213168,0.725701532247321,-0.17883544612844648,0.28620839019882116,0.2861873578077617,1.0,1.0
1,orig,19,0.8322367215378172,0.013176906443213093,0.7431277201794481,-0.17922079724721995,0.28950159574166057,0.2888529270287111,1.0,1.0
1,orig,20,0.8704799049582375,0.013711244304269529,0.7278225308372096,-0.16774821711134985,0.3334376751153747,0.3320960600258609,1.0,1.0
1,orig,21,0.6401042021022925,0.01755333151775972,0.6949774186714746,-0.17039565513744742,0.3102512687953143,0.3433966674983373,1.0,1.0
1,orig,22,0.7541460119373037,0.016349432403057043,0.7101920479509983,-0.17341664018617908,0.31039878949610433,0.31086758619661947,1.0,1.0
1,orig,23,0.8657980491331164,0.017731323117527207,0.7208846946455002,-0.17671232135218934,0.2913752216227147,0.2899465828356761,1.0,1.0
1,orig,24,0.7752521001078579,0.016600022977309264,0.7232424971340333,-0.17220767764840572,0.3056683733332406,0.31316004370982053,1.0,1.0
1,orig,25,0.7283034207714096,0.014313828937773138,0.7131568447662329,-0.1793601521173417,0.29281196409841515,0.29229105350537554,1.0,1.0
1,orig,26,0.8279327648833156,0.013942269923785866,0.7868353463587211,-0.1778984928037204,0.30280343433945056,0.3015380741153525,1.0,1.0
1,orig,27,0.6555275697588671,0.017787719755938933,0.6412876541874948,-0.1755511459760389,0.2976037136239177,0.2978980386531238,1.0,1.0
