,0
0,0.0932084396481514
1,0.08251211047172546
2,0.07715003192424774
3,0.07429919391870499
4,0.07183057814836502
5,0.06913410872220993
6,0.06638766080141068
7,0.06396109610795975
8,0.06214229762554169
9,0.06101737916469574
10,0.060441192239522934
11,0.060128334909677505
12,0.059816960245370865
13,0.059379659593105316
14,0.058826833963394165
15,0.05824459344148636
16,0.05772486701607704
17,0.057318009436130524
18,0.057016436010599136
19,0.056766729801893234
20,0.056499626487493515
21,0.05616180598735809
22,0.055735230445861816
23,0.05523855984210968
24,0.05471377819776535
25,0.05420571565628052
26,0.053743209689855576
27,0.05332917347550392
28,0.052943602204322815
29,0.05255788937211037
30,0.052152570337057114
31,0.05172847956418991
32,0.05130523070693016
33,0.05090872943401337
34,0.0505560077726841
35,0.05024624243378639
36,0.04996301978826523
37,0.04968540370464325
38,0.04940013960003853
39,0.049107447266578674
40,0.04881742224097252
41,0.04854055866599083
42,0.048279158771038055
43,0.0480254665017128
44,0.047767482697963715
45,0.047497548162937164
46,0.04721727594733238
47,0.04693537950515747
48,0.04666091501712799
49,0.04639753699302673
50,0.04614261910319328
51,0.0458911657333374
52,0.04564058780670166
53,0.04539277032017708
54,0.04515223205089569
55,0.044922370463609695
56,0.044702935963869095
57,0.04449043795466423
58,0.04428094998002052
59,0.04407269135117531
60,0.04386661946773529
61,0.043664708733558655
62,0.0434679239988327
63,0.04327532276511192
64,0.043085042387247086
65,0.042895883321762085
66,0.042708247900009155
67,0.04252368211746216
68,0.04234358295798302
69,0.04216822609305382
70,0.04199686646461487
71,0.04182867333292961
72,0.04166346788406372
73,0.04150179773569107
74,0.041344307363033295
75,0.041191041469573975
76,0.041041430085897446
77,0.04089474305510521
78,0.040750689804553986
79,0.04060946777462959
80,0.04047148674726486
81,0.04033690318465233
82,0.04020555317401886
83,0.04007714241743088
84,0.03995158523321152
85,0.03982904553413391
86,0.03970978409051895
87,0.03959387168288231
88,0.03948115184903145
89,0.03937138244509697
90,0.03926440328359604
91,0.03916023671627045
92,0.039058927446603775
93,0.038960449397563934
94,0.038864679634571075
95,0.03877146542072296
96,0.03868073970079422
97,0.03859252110123634
98,0.03850686922669411
99,0.03842376545071602
100,0.03834313154220581
101,0.03826487809419632
102,0.03818893805146217
103,0.03811531513929367
104,0.03804396465420723
105,0.03797483816742897
106,0.03790782764554024
107,0.037842873483896255
108,0.03777989745140076
109,0.03771887719631195
110,0.03765977546572685
111,0.03760254383087158
112,0.03754710406064987
113,0.03749340772628784
114,0.03744140639901161
115,0.037391070276498795
116,0.03734235092997551
117,0.03729518502950668
118,0.03724952042102814
119,0.0372052825987339
120,0.03716243803501129
121,0.037120942026376724
122,0.03708074241876602
123,0.0370417945086956
124,0.03700403869152069
125,0.0369674451649189
126,0.03693196550011635
127,0.03689756616950035
128,0.03686419874429703
129,0.03683183342218399
130,0.03680041432380676
131,0.03676990419626236
132,0.036740273237228394
133,0.03671148419380188
134,0.036683496087789536
135,0.03665626794099808
136,0.03662978485226631
137,0.03660398721694946
138,0.03657887503504753
139,0.036554399877786636
140,0.036530546844005585
141,0.036507271230220795
142,0.03648456558585167
143,0.03646238148212433
144,0.036440711468458176
145,0.036419522017240524
146,0.03639880195260048
147,0.036378517746925354
148,0.03635865077376366
149,0.03633918613195419
150,0.036320097744464874
151,0.0363013781607151
152,0.03628299757838249
153,0.03626495227217674
154,0.03624720871448517
155,0.03622977435588837
