index,fid,nn_rep,lhs_rep,ela_distr.skewness,fitness_distance.fitness_std,nbc.nn_nb.sd_ratio,nbc.nb_fitness.cor,ela_meta.lin_simple.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_w_interact.adj_r2,dim
0,1.0,orig,0.0,0.7297734567044438,0.015065651818741654,0.698103881291012,-0.1768431344410145,0.3134723808309817,0.3121380656138455,1.0,1.0,
1,1.0,orig,1.0,0.6016890472907241,0.013889732569241298,0.6944534974275914,-0.18048514654426487,0.26778231327037005,0.2686233223279262,1.0,1.0,
2,1.0,orig,2.0,0.6157252304941301,0.0166835367815696,0.6862886758563802,-0.18230027792562606,0.3073951362492159,0.31985271724718567,1.0,1.0,
3,1.0,orig,3.0,0.7384773432070662,0.013219343792143946,0.7107232442087128,-0.17089070141207272,0.3055788340842399,0.3043168526931318,1.0,1.0,
4,1.0,orig,4.0,0.6877712456020986,0.01755409301260881,0.7044643616597968,-0.17979957593394658,0.31763724773002633,0.3193999627340389,1.0,1.0,
5,1.0,orig,5.0,0.7384554475365079,0.012729938978975534,0.6735758361967696,-0.1676648802698159,0.32426573641324785,0.3236572663209356,1.0,1.0,
6,1.0,orig,6.0,0.7805011460353654,0.016959564825357556,0.7204585991142084,-0.17759610924017588,0.2836172668422754,0.2925121723972117,1.0,1.0,
7,1.0,orig,7.0,0.7764774241112907,0.017189485049800203,0.6786365132762393,-0.17591677008079384,0.2826829110763117,0.284712514944387,1.0,1.0,
8,1.0,orig,8.0,0.738492445098997,0.01397518368601039,0.6985643208127579,-0.16354847615467316,0.2944295987169062,0.29329582523412034,1.0,1.0,
9,1.0,orig,9.0,0.6380996644802056,0.014620302171950837,0.7065719224500424,-0.17123697014190054,0.29255383746608365,0.2914086952220347,1.0,1.0,
10,1.0,orig,10.0,0.7030084732221665,0.014030202812822605,0.7034333800533905,-0.17224152261581718,0.3225953715375084,0.3236889279021019,1.0,1.0,
11,1.0,orig,11.0,0.7260388866053743,0.015382575748429887,0.7581942872723959,-0.178639268679914,0.2818714117629715,0.2823954178162067,1.0,1.0,
12,1.0,orig,12.0,0.7297257581560148,0.013549383277299477,0.7110847492517595,-0.15167929587462797,0.2987215372046542,0.2974863461561198,1.0,1.0,
13,1.0,orig,13.0,0.8610671012235255,0.015166489820178843,0.7149573198407809,-0.16735869530363817,0.30833317994985443,0.3145530345273351,1.0,1.0,
14,1.0,orig,14.0,0.7173946483936853,0.016503936686029057,0.7011279554436323,-0.1743886521308711,0.3125541599501084,0.31788736669042994,1.0,1.0,
15,1.0,orig,15.0,0.5734833367208254,0.01891453627392612,0.6908487871403747,-0.2081060151583273,0.29761243104117985,0.2983865277468931,1.0,1.0,
16,1.0,orig,16.0,0.6667219550358195,0.014853763220560935,0.7110681753292211,-0.1733257459888641,0.27114400980400755,0.27724942352639403,1.0,1.0,
17,1.0,orig,17.0,0.7606376218264795,0.01860593617113047,0.707300430458776,-0.1754606508275056,0.3082424922326966,0.3073410063639339,1.0,1.0,
18,1.0,orig,18.0,0.6795068014537715,0.015115544787213168,0.725701532247321,-0.17883544612844635,0.28620839019882116,0.2861873578077616,1.0,1.0,
19,1.0,orig,19.0,0.8322367215378172,0.013176906443213093,0.7431277201794481,-0.17922079724722006,0.28950159574166057,0.2888529270287111,1.0,1.0,
20,1.0,orig,20.0,0.8704799049582375,0.013711244304269529,0.7278225308372096,-0.1677482171113495,0.3334376751153747,0.332096060025861,1.0,1.0,
21,1.0,orig,21.0,0.6401042021022925,0.01755333151775972,0.6949774186714746,-0.17039565513744723,0.31025126879531406,0.3433966674983374,1.0,1.0,
22,1.0,orig,22.0,0.7541460119373037,0.016349432403057043,0.7101920479509983,-0.17341664018617883,0.31039878949610444,0.31086758619661947,1.0,1.0,
23,1.0,orig,23.0,0.8657980491331164,0.017731323117527207,0.7208846946455002,-0.17671232135218917,0.2913752216227147,0.289946582835676,1.0,1.0,
24,1.0,orig,24.0,0.7752521001078579,0.016600022977309264,0.7232424971340333,-0.17220767764840567,0.3056683733332407,0.31316004370982053,1.0,1.0,
25,1.0,orig,25.0,0.7283034207714096,0.014313828937773138,0.7131568447662329,-0.17936015211734166,0.29281196409841515,0.29229105350537543,1.0,1.0,
26,1.0,orig,26.0,0.8279327648833156,0.013942269923785866,0.7868353463587211,-0.1778984928037204,0.30280343433945056,0.3015380741153525,1.0,1.0,
27,1.0,orig,27.0,0.6555275697588671,0.017787719755938933,0.6412876541874948,-0.17555114597603882,0.2976037136239178,0.2978980386531238,1.0,1.0,
28,1.0,orig,28.0,0.7652496240565474,0.015438547852306495,0.7057480233852711,-0.17402051549618153,0.28526248621117734,0.2868986446938545,1.0,1.0,
29,1.0,orig,29.0,0.7696597487857852,0.019707316937840284,0.6579587869195266,-0.17596895935109128,0.280763477851825,0.28189395361983993,1.0,1.0,
30,1.0,orig,30.0,0.7600821128465715,0.011667459450798763,0.7069969358342614,-0.1579780857712166,0.28881291876598214,0.28783314039505736,1.0,1.0,
31,1.0,orig,31.0,0.7074622577151598,0.014565261296830681,0.7095905190528278,-0.174493551299736,0.30733744215201186,0.3059411440387724,1.0,1.0,
32,1.0,orig,32.0,0.6919681975061222,0.0161729781713424,0.739553235372452,-0.1786421835203318,0.2772569277723427,0.2765187336479409,1.0,1.0,
33,1.0,orig,33.0,0.6224434143642931,0.01886164513682187,0.7210110061393143,-0.20194093626783222,0.2773546274501887,0.27590757292415014,1.0,1.0,
34,1.0,orig,34.0,0.5975930922350523,0.01902384321217356,0.7396600307695856,-0.1764654975168181,0.26837240296614284,0.2669770325100712,1.0,1.0,
